Polda,Polres,Sudah Diupload,Sudah Diverifikasi,Belum Diverifikasi,Ditolak,Ditolak (Akumulasi),Persentase
Aceh,Aceh Timur,90,90,1,1,6,27.44
Aceh,Gayo Lues,90,87,3,0,16,26.52
Aceh,Kota Lhokseumawe,90,86,4,0,19,26.22
Aceh,Aceh Utara,89,86,3,0,20,26.22
Aceh,Aceh Tengah,89,85,4,0,5,25.91
Aceh,Aceh Tamiang,90,85,3,2,5,25.91
Aceh,Aceh Jaya,89,85,4,0,4,25.91
Aceh,Kota Subulussalam,89,84,5,0,5,25.61
Aceh,Aceh Barat,89,84,5,0,5,25.61
Aceh,Kota Sabang,89,84,5,0,14,25.61
Aceh,Pidie,89,83,6,0,9,25.3
Aceh,Kota Banda Aceh,89,83,6,0,14,25.3
Aceh,Aceh Barat Daya,85,79,4,2,3,24.09
Aceh,Aceh Tenggara,84,79,5,0,12,24.09
Aceh,Pidie Jaya,85,79,6,0,9,24.09
Aceh,Nagan Raya,86,78,8,0,3,23.78
Aceh,Kota Langsa,84,77,5,2,8,23.48
Aceh,Bireuen,85,76,7,2,10,23.17
Aceh,Simeulue,79,76,1,2,6,23.17
Aceh,Aceh Besar,82,70,6,6,18,21.34
Aceh,Aceh Selatan,83,67,10,6,11,20.43
Aceh,Bener Meriah,68,64,2,2,15,19.51
Aceh,Aceh Singkil,70,63,7,0,8,19.21
